smiles,rt_min,CC_Tem,CC_Speed,CC_Particle Size,CC_Inner Diameter,CC_Length,CC_PhaseA_W_per,CC_PhaseA_O_per,CC_PhaseA_FA_per,CC_PhaseA_TFA_per,CC_PhaseB_O_pKa,CC_PhaseB_O_per,CC_PhaseB_W_per,CC_PhaseB_FA_per,CC_PhaseB_TFA_per,CC_RT-initial,CC_RT-final,CC_time
ClC1=CC=C(C2=N[C@@H](CC(NCCCCCOC3=NOC([C@@H](C(C)C)C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(Cl)C=C5)=O)=O)=C3)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,1.11,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCCCCOC3=NOC([C@@H](C(C)C)C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)=C3)=O)C7=NN=C(C)N7C8=C2C(C)=C(C)S8)C=C1,1.04,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCOCCOCCOCCOC3=C([C@H](C)NC([C@H]4N(C([C@H](C(C)C)C5=CC(C)=NO5)=O)C[C@H](O)C4)=O)C=CC(Cl)=C3)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,1.08,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCOCCOCCNC(C[C@H](NC([C@H]3N(C([C@H](C(C)C)C4=CC(C)=NO4)=O)C[C@H](O)C3)=O)C5=CC=C(Cl)C=C5)=O)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,0.9,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C2=N[C@@H](CC(NCCOCCOCCOCCNC(C[C@H](NC([C@H]3N(C([C@H](C(C)C)C4=CC(C)=NO4)=O)C[C@H](O)C3)=O)C5=CC=C(Cl)C=C5)=O)=O)C6=NN=C(C)N6C7=C2C(C)=C(C)S7)C=C1,1.136,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCCCNC(C[C@@H](C5=CC=C(C=C5)C6=C(C)N=CS6)NC([C@H]7N(C[C@@H](C7)O)C([C@@H](C8=CC(C)=NO8)C(C)C)=O)=O)=O)=O,1.01,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCOCCOCCNC(C[C@@H](C5=CC=C(C=C5)C6=C(C)N=CS6)NC([C@H]7N(C[C@@H](C7)O)C([C@@H](C8=CC(C)=NO8)C(C)C)=O)=O)=O)=O,1.34,40,1.2,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,1.2
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCOCCOCCOCCNC(C[C@@H](C5=CC=C(C=C5)C6=C(C)N=CS6)NC([C@H]7N(C[C@@H](C7)O)C([C@@H](C8=CC(C)=NO8)C(C)C)=O)=O)=O)=O,1.94,45,1.5,2,3,30,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,95,8
ClC1=CC=C(C=C1)C2=N[C@H](C3=NN=C(N3C4=C2C(C)=C(S4)C)C)CC(NCCOCCOCCOCCOCC#CC(N=CS5)=C5C6=CC=C([C@H](C)NC([C@H]7N(C([C@H](C(C)C)C8=CC(C)=NO8)=O)C[C@H](O)C7)=O)C=C6)=O,1.01,40,1.5,2,3,30,99.95,0,0,0.05,-4.3,99.95,0,0,0.05,5,100,2
O=C(O)C1=CC=NC(C2=CN(CCN(CCCCCCCCCCOC3=CC=CC(C(N4C(CC5)C(NC5=O)=O)=O)=C3C4=O)C)N=N2)=C1,13.11,25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
O=C(O)C1=CC=NC(C2=CN(CCN(CCCCCCCCOC3=CC=CC(C(N4C(CC5)C(NC5=O)=O)=O)=C3C4=O)C)N=N2)=C1,11.83,25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
O=C(O)C1=CC=NC(C2=CN(CCN(CCCCCCCCCCCCOC3=CC=CC(C(N4C(CC5)C(NC5=O)=O)=O)=C3C4=O)C)N=N2)=C1,14.35,25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
O=C(OC)C1=CC=NC(C2=CN(CCN(CCCCCCCCCCOC3=CC=CC(C(N4C(CC5)C(NC5=O)=O)=O)=C3C4=O)C)N=N2)=C1,14.3,25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
O=C(OC)C1=CC=NC(C2=CN(CCN(CCCCCCCCOC3=CC=CC(C(N4C(CC5)C(NC5=O)=O)=O)=C3C4=O)C)N=N2)=C1,13.09,25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
O=C(OC)C1=CC=NC(C2=CN(CCN(CCCCCCCCCCCCOC3=CC=CC(C(N4C(CC5)C(NC5=O)=O)=O)=C3C4=O)C)N=N2)=C1,15.53,25,1,5,4.6,150,99.9,0,0,0.1,-4.3,99.9,0,0,0.1,10,90,20
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](NC(COCCOCCOCCOCCN3N=CC(NC4=NC=C(Cl)C(NCC5=CC(F)=CC=C5F)=N4)=C3)=O)C1)N[C@@H]6CCCC7=C6C=CC=C7,1.22,40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](NC(CCCCCCCCCN3N=CC(NC4=NC=C(Cl)C(NCC5=CC(F)=CC=C5F)=N4)=C3)=O)C1)N[C@@H]6CCCC7=C6C=CC=C7,1.42,40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@@H](NC)C)=O)=O)C[C@@H](NC(COCCOCCOCCOCCOC3=CC(F)=CC(CNC4=NC(NC5=CN(C)N=C5)=NC=C4Cl)=C3F)=O)C1)N[C@@H]6CCCC7=C6C=CC=C7,1.21,40,1,1.7,2.1,50,100,0,0,0,-4.3,100,0,0,0,3,95,1.5
